keys,en,el
PRACTICE,Practice,ἀσκεῖν
VERB,Verb,ῥῆμα
NOUN,Noun,ὄνομα
ADJECTIVE,Adjective,ἐπὶθετον
ADVERB,Adverb,ἐπίρρημα
ARTICLE,Article,ἄρθρον
CONJUNCTION,Conjunction,σύνδεσμος
PRONOUN,Pronoun,ἀντωνυμία
PREPOSITION,Preposition,ἀντωνυμία
PARTICIPLE,Participle,μετοχή
ACTIVE,Active,ἐνέργεια
MIDDLE,Middle,μεσότης
PASSIVE,Passive,πάθος
PERSON,Person,πρώσοπα
1ST_PERSON,1st Person,πρῶτον
2ND_PERSON,2nd Person,δεύτερον
3RD_PERSON,3rd Person,τρίτον
X1ST_PERSON,x1st Person,πρῶτον πρώσοπον
X2ND_PERSON,x2nd Person,δεύτερον πρώσοπον
X3RD_PERSON,x3rd Person,τρίτον πρώσοπον
NOMINATIVE,Nominative,ὀνομαστική
NOMINATIVEALT,NominativeAlt,ὀρθή
ACCUSATIVE,Accusative,αἰτιατική
GENITIVE,Genitive,γενική
DATIVE,Dative,δοτική
VOCATIVE,Vocative,κλητική
MASCULINE,Masculine,ἀρσενικόν
FEMININE,Feminine,θηλυκόν
NEUTER,Neuter,οὐδέτερον
SINGULAR,Singular,ἑνικός
DUAL,Dual,δυϊκός
PLURAL,Plural,πληθυντικός
DECLINES,Declines,Declines
PART_OF_SPEECH,Part of Speech,μέρος τοῦ λόγου
STRONGS_NUMBER,Strongs Number,Strongs Number
PARSING_QUIZ,Parsing Quiz,ἀσκεῖν
DICTIONARY,Dictionary,λεξικόν
CORRECT,Correct,ὀρθῶς
INCORRECT,Incorrect,Incorrect
DONE,Done,τέλειον
NEXT,Next,ὕστερον
CHECK,Check,δοκίμασον
PARSE_WORD_HELP,Tap the buttons to describe this word.,Tap the buttons to describe this word.
PARTICIPLES,Participles,μετοχή
VERBS,Verbs,μέρη τοῦ ῥήματος
PRESENT_AND_FUTURE,Present and Future,ἐνεστώς καὶ μέλλων
PERFECT_AND_PLUPERFECT,Perfect and Pluperfect,παρακειμένος καὶ ὑπερσυντέλικος
MIDDLE_AND_PASSIVE,Middle and Passive,μεσότης ἢ πάθος
NOUNS_AND_ADJECTIVES,ὄνομα καὶ ἐπὶθετον
NOMINATIVE_AND_ACCUSATIVE,Nominative and Accusative,ὀνομαστική καὶ αἰτιατική
GENITIVE_AND_DATIVE,Genitive and Dative,γενικὴ καὶ δοτική
MASCULINE_SINGULAR,Masculine Singular,ἀρσενικόν ἑνικόν
MASCULINE_PLURAL,Masculine Plural,ἀρσενικόν πληθυντικόν
FEMININE_SINGULAR,Feminine Singular,θηλυκόν ἑνικόν
FEMININE_PLURAL,Feminine Plural,θηλυκόν πληθυντικόν
NEUTER_SINGULAR,Neuter Singular,οὐδέτερον ἑνικόν
NEUTER_PLURAL,Neuter Plural,οὐδέτερον πληθυντικόν
PRESENT,Present,ἐνεστώς
IMPERFECT,Imperfect,παρατατικός
FUTURE,Future,μέλλων
AORIST,Aorist,ἀόριστον
PERFECT,Perfect,παρακειμένος
PLUPERFECT,Pluperfect,ὑπερσυντέλικος
MOOD,Mood,ἐγκλίσεις
SUBJUNCTIVE,Subjunctive,ὑποτακτική
IMPERATIVE,Imperative,προστακτική
INDICATIVE,Indicative,ὁριστική
INFINITIVE,Infinitive,ἀπαρέμφατος
LICENSES,Licenses,Licenses
TERMS_OF_USE,Terms,Terms
TERMS_OF_SERVICE,Terms,Terms
PRIVACY_POLICY,Privacy,Privacy
